title,primary_author,publisher,publication_year,num_pages,weighted_rating,ratings_count,text_reviews_count,isbn13
the heidi chronicles: uncommon women and others & isn't it romantic,wendy wasserstein,vintage,1991,249,3.900682579,2766,64,9.78068E+12
active literacy across the curriculum: strategies for reading  writing  speaking  and listening,heidi hayes jacobs,routledge,2006,138,3.942711826,31,1,9.7816E+12
simply beautiful beaded jewelry,heidi boyd,north light books,2006,128,3.94009093,62,4,9.78158E+12
always enough: god's miraculous provision among the poorest children on earth,heidi baker,chosen books,2003,192,4.03442423,860,53,9.7808E+12
mapping the big picture: integrating curriculum & assessment k-12,heidi hayes jacobs,association for supervision & curriculum development,1997,108,3.937760555,77,2,9.78087E+12
heidi (heidi  #1-2),johanna spyri,kingfisher,2002,352,3.988800629,153317,2257,9.78075E+12
getting results with curriculum mapping,heidi hayes jacobs,ascd,2004,192,3.933317499,55,5,9.78087E+12
there's always enough: the miraculous move of god in mozambique,rolland baker,sovereign world,2003,192,3.947101697,34,6,9.78185E+12
what to expect the first year (what to expect),heidi murkoff,workman publishing company,2003,832,3.903331682,11797,659,9.78076E+12
the player's handbook: the ultimate guide on dating and relationships,heidi fleiss,one hour entertainment,2004,123,3.941696292,34,8,9.78097E+12
simply beautiful beading: 53 quick and easy projects,heidi boyd,north light books,2004,128,3.939613867,78,4,9.78158E+12
god emperor of dune (dune chronicles  #4),frank herbert,ace books,1987,423,3.900512439,2785,166,9.78044E+12
chapterhouse: dune (dune chronicles #6),frank herbert,ace books,1987,436,3.913054894,38778,568,9.78044E+12
dune messiah (dune chronicles #2),frank herbert,ace books,1987,331,3.88246739,97494,2359,9.78044E+12
dreamer of dune: the biography of frank herbert,brian herbert,tor books,2004,592,3.953775985,784,21,9.78077E+12
heretics of dune (dune chronicles  #5),frank herbert,putnam,1984,480,3.937454872,272,20,9.7804E+12
the road to dune,frank herbert,tor science fiction,2006,426,3.908517936,4789,83,9.78077E+12
heretics of dune (dune chronicles #5),frank herbert,ace books,1987,471,3.866687713,45388,644,9.78044E+12
the lord of the rings: the art of the fellowship of the ring,gary russell,houghton mifflin harcourt,2002,192,4.504292065,26153,102,9.78062E+12
the power of one (the power of one  #1),bryce courtenay,ballantine books,1996,544,4.327779135,69167,4551,9.78035E+12
the power of one (the power of one  #1),bryce courtenay,delacorte books for young readers,2005,291,3.947273099,45,13,9.78039E+12
the power of one: one person  one rule  one month,john c. maxwell,thomas nelson,2004,256,3.944079397,16,1,9.78079E+12
power of an hour: business and life mastery in one hour a week,dave lakhani,wiley,2006,205,3.917556317,174,16,9.78047E+12
how to buy  sell & profit on ebay: kick-start your home-based business in just thirty days,adam ginsberg,william morrow paperbacks,2005,336,3.934087077,76,9,9.78006E+12
ebay for dummies,marsha collier,wiley,2006,386,3.9307543,111,9,9.78047E+12
what to sell on ebay and where to get it: the definitive guide to product sourcing for ebay and beyond,chris malta,mcgraw-hill,2006,260,3.940804013,24,0,9.78007E+12
starting an ebay business for dummies,marsha collier,wiley,2004,384,3.937394997,55,4,9.78076E+12
ebay timesaving techniques for dummies,marsha collier,wiley,2004,391,3.939703157,22,1,9.78076E+12
ebay business all-in-one desk reference for dummies,marsha collier,wiley,2005,864,3.942509253,17,3,9.78076E+12
ruby cookbook,lucas carlson,o'reilly media,2006,873,3.938631084,166,4,9.7806E+12
ruby ann's down home trailer park cookbook,ruby ann boxcar,citadel,2005,240,3.944925919,50,5,9.78081E+12
ruby ann's down home trailer park bbqin' cookbook,ruby ann boxcar,citadel,2005,206,3.943178493,13,2,9.78081E+12
rails cookbook: recipes for rapid web development with ruby,rob orsini,o'reilly media,2007,514,3.935430662,64,1,9.7806E+12
anna karenina,leo tolstoy,penguin classics,2004,838,4.029250026,16643,1851,9.78014E+12
anna karenina,leo tolstoy,signet,2002,960,4.046224659,109420,5696,9.78045E+12
anna karenina,leo tolstoy,penguin books,2003,837,3.987907157,2904,309,9.78014E+12
cliffsnotes on tolstoy's anna karenina,marianne sturman,cliffs notes,1965,80,3.942362659,16,3,9.78082E+12
anna karenina,leo tolstoy,barnes & noble classics,2003,803,4.018413983,9564,726,9.78159E+12
anna karenina,leo tolstoy,dover publications,2004,752,3.954118728,474,72,9.78049E+12
anna karenina,leo tolstoy,barnes & noble,2004,803,3.950300981,303,48,9.78159E+12
dinner with anna karenina,gloria goldreich,mira books,2006,360,3.853791531,411,65,9.78078E+12
tolstoy: anna karenina,anthony thorlby,cambridge university press,1987,128,4.000033219,1204,33,9.78052E+12
untouchable,mulk raj anand,penguin books,1990,160,3.835188879,3429,279,9.78014E+12
the untouchable,john banville,vintage,1998,367,3.945286874,2163,216,9.78068E+12
the untouchables,eliot ness,buccaneer books,1996,256,3.935712677,613,31,9.78157E+12
untouchables: my family's triumphant journey out of the caste system in modern india,narendra jadhav,scribner,2005,320,3.93394097,308,40,9.78074E+12
growing up untouchable in india: a dalit autobiography,vasant moon,rowman & littlefield publishers,2000,224,3.941564176,16,4,9.78074E+12
a wrinkle in time: a guide for using "a wrinkle in time" in the classroom,john carratello,teacher created resources,1991,48,3.94297575,17,0,9.78156E+12
wrinkles in time,george smoot,harper perennial,1994,360,3.956583494,1035,23,9.78038E+12
a wrinkle in time: with related readings (a wrinkle in time quintet #1),madeleine l'engle,emc/paradigm publishing,2002,250,3.943244759,36,6,9.78082E+12
literature circle guide: a wrinkle in time,tara maccarthy,teaching resources,2002,32,3.941449756,15,0,9.78044E+12
the long shadow (the morland dynasty  #6),cynthia harrod-eagles,little  brown book group,1994,367,3.957993542,376,17,9.78075E+12
a long shadow (inspector ian rutledge  #8),charles todd,william morrow,2006,352,4.015665281,3086,237,9.78006E+12
long way round: chasing shadows across the world,ewan mcgregor,atria books,2005,320,3.942511417,352,44,9.78074E+12
a shadow in summer (long price quartet  #1),daniel abraham,tor books,2006,331,3.698822026,9852,633,9.78077E+12
new hope for the dead (hoke mosely #2),charles willeford,vintage crime/black lizard,2004,244,3.935442919,821,78,9.7814E+12
sideswipe: a hoke moseley novel,charles willeford,vintage crime/black lizard,2005,215,3.959336508,731,72,9.7814E+12
miami blues (hoke moseley #1),charles willeford,vintage crime/black lizard,2004,191,3.941583572,2897,178,9.7814E+12
the burnt orange heresy (vintage crime/black lizard),charles willeford,vintage,1990,144,3.941469237,98,11,9.78068E+12
i am charlotte simmons,tom wolfe,picador usa,2005,738,3.50386552,20888,1688,9.78031E+12
poetry for young people: edward lear,edward lear,sterling,2001,48,3.942200462,66,19,9.78081E+12
the puffin book of nonsense verse,quentin blake,puffin,1996,287,3.944269654,81,6,9.78014E+12
henry miller on writing,henry miller,new directions publishing,1964,217,3.997432448,981,52,9.78081E+12
quiet days in clichy,henry miller,grove press,1994,154,3.826832134,3381,141,9.7808E+12
tropic of cancer,henry miller,grove press,1994,318,3.698335115,53206,2376,9.7808E+12
tropic of capricorn,henry miller,grove press,1994,348,3.814434816,14872,459,9.7808E+12
nexus (the rosy crucifixion  #3),henry miller,grove press,1994,316,4.013445191,3261,58,9.7808E+12
sexus (the rosy crucifixion  #1),henry miller,grove press,1994,506,3.967389976,7805,251,9.7808E+12
the air-conditioned nightmare,henry miller,new directions,1970,292,3.897256239,2699,142,9.78081E+12
the portrait of a lady,henry james,penguin classics,2003,797,3.789897132,61640,1951,9.78014E+12
the portrait of a lady,henry james,barnes  noble classics,2004,635,3.928180626,392,41,9.78159E+12
writing,marguerite duras,brookline books,1999,91,3.911294992,778,44,9.78157E+12
the war,marguerite duras,the new press,1994,192,3.924708875,963,65,9.78157E+12
the ravishing of lol stein,marguerite duras,pantheon,1986,181,3.846581456,2057,128,9.78039E+12
love letters,kahlil gibran,one world (uk),1999,178,3.930017783,203,8,9.78185E+12
kahlil gibran: his life and world,jean gibran,interlink publishing group,1998,464,3.945056026,35,2,9.78157E+12
the beloved: reflections on the path of the heart,kahlil gibran,penguin books,1998,102,3.96150861,328,16,9.78014E+12
jesus the son of man,kahlil gibran,knopf,1995,216,3.951930824,1308,82,9.78039E+12
the broken wings,kahlil gibran,citadel,2003,132,3.928705303,6432,517,9.78081E+12
sand and foam,kahlil gibran,knopf,2011,100,4.001800102,3015,217,9.78068E+12
treasure island,robert louis stevenson,sterling children's books,2004,213,3.932000316,420,42,9.7814E+12
treasure island,robert louis stevenson,simon & schuster,2005,245,3.875185527,5967,276,9.78142E+12
treasure island,robert louis stevenson,atheneum books for young readers,2003,64,3.939870249,104,14,9.78069E+12
treasure island,robert louis stevenson,gramercy books,2002,272,3.941173187,56,4,9.78052E+12
treasure island (great illustrated classics),deidre s. laiken,abdo publishing company,2006,232,3.945123841,91,16,9.78158E+12
100 years of lynchings,ralph ginzburg,black classic press,1996,270,3.957126334,88,4,9.78093E+12
on beyond zebra!,dr. seuss,random house books for young readers,1955,64,3.982959568,2815,164,9.78039E+12
the wedding clause,debbie raleigh,zebra,2005,256,3.934765476,95,13,9.78082E+12
the zebra wall,kevin henkes,greenwillow books,2005,147,3.916811432,217,24,9.78006E+12
the door into summer,robert a. heinlein,del rey,1997,304,3.997348828,17232,649,9.78035E+12
stranger in a strange land,robert a. heinlein,ace,1991,528,3.920354644,251872,6241,9.78044E+12
to sail beyond the sunset,robert a. heinlein,ace books,1988,434,3.890324027,10293,193,9.78044E+12
job: a comedy of justice,robert a. heinlein,del rey,1985,439,3.812540708,15970,438,9.78035E+12
time for the stars (heinlein's juveniles  #10),robert a. heinlein,tor books,2006,256,3.960005197,6898,200,9.78077E+12
the long dark tea-time of the soul (dirk gently  #2),douglas adams,pocket books,1991,307,4.053480242,67803,1401,9.78067E+12
the salmon of doubt (dirk gently  #3),douglas adams,del rey,2005,298,3.931948601,22091,746,9.78035E+12
wish you were here: the official biography of douglas adams,nick  webb,del rey,2005,368,4.020958575,2623,49,9.78035E+12
douglas adams's starship titanic,terry jones,ballantine books,1998,256,3.8805341,885,84,9.78035E+12
the phantom tollbooth: a children's play in two acts,susan nanus,samuel french  inc.,2011,72,3.947309755,100,13,9.78057E+12
on bullshit,harry g. frankfurt,princeton university press,2005,67,3.681449077,9358,995,9.78069E+12
another bullshit night in suck city,nick flynn,w. w. norton & company,2005,347,3.828804216,9318,907,9.78039E+12
lincoln at gettysburg: the words that remade america,garry wills,simon & schuster,1993,317,3.94849027,120,15,9.78067E+12
the gettysburg address,abraham lincoln,hmh books for young readers,1998,32,4.276047342,5239,76,9.7804E+12
underworld,don delillo,scribner,1998,827,3.936508495,1505,175,9.78068E+12
libra,don delillo,penguin,1991,480,3.97809539,11857,564,9.78014E+12
americana,don delillo,penguin books,1989,377,3.896775668,393,55,9.78014E+12
running dog,don delillo,vintage contemporaries,1989,256,3.81271834,1356,72,9.78068E+12
cosmopolis,don delillo,scribner,2004,224,3.868050272,460,41,9.78074E+12
great jones street,don delillo,penguin books,1994,272,3.764879479,2492,145,9.78014E+12
the names,don delillo,vintage,1989,339,3.810397173,3100,212,9.78068E+12
against the day,thomas pynchon,penguin press,2006,1085,4.049516839,5296,587,9.78159E+12
v.,thomas pynchon,harper perennial modern classics,2005,547,3.947251987,1415,177,9.78006E+12
the crying of lot 49,thomas pynchon,harper perennial,1999,152,3.853964599,2161,230,9.78006E+12
gravity's rainbow,thomas pynchon,penguin books,2000,784,3.953515776,762,213,9.78014E+12
mason & dixon,thomas pynchon,picador usa,2004,773,4.027938712,8086,602,9.78031E+12
vineland,thomas pynchon,penguin classics,1997,385,3.904932801,702,69,9.78014E+12
gravity's rainbow,thomas pynchon,penguin books,2006,776,4.002045663,29764,2164,9.78014E+12
slow learner: early stories,thomas pynchon,back bay books,1985,193,3.908547391,334,34,9.78032E+12
been down so long it looks like up to me,richard fariÃ±a,penguin classics,1996,352,3.888131144,2473,220,9.78014E+12
the year of magical thinking,joan didion,knopf publishing group,2005,227,3.921663848,2656,336,9.7814E+12
the white album,joan didion,farrar straus giroux,1990,222,4.112876251,11889,738,9.78037E+12
a book of common prayer,joan didion,vintage international,1995,272,3.881933472,2962,255,9.78068E+12
where i was from,joan didion,vintage,2004,240,3.90832542,2842,292,9.78068E+12
slouching towards bethlehem,joan didion,farrar straus giroux,1990,238,4.17550355,26934,1825,9.78037E+12
democracy,joan didion,vintage international,1995,234,3.897405403,2070,169,9.78068E+12
we tell ourselves stories in order to live: collected nonfiction,joan didion,everyman's library,2006,1122,4.09961347,1564,108,9.78031E+12
play it as it lays,joan didion,farrar  straus and giroux,2005,231,3.880500752,23656,1706,9.78037E+12
the new york trilogy,paul auster,penguin classics,2006,308,3.894460298,43200,1873,9.78014E+12
city of glass (the new york trilogy  #1),paul auster,penguin books,1987,203,3.827170068,12410,734,9.78014E+12
ghosts (the new york trilogy  #2),paul auster,penguin books,1987,96,3.797678975,3672,195,9.78014E+12
the locked room (the new york trilogy  #3),paul auster,sun and moon press,1986,179,3.920114541,2998,164,9.78094E+12
pyramids of montauk: explorations in consciousness,peter moon,sky books (ny),1995,256,3.94177307,74,2,9.78096E+12
the brooklyn follies,paul auster,picador,2006,306,3.858666123,17977,1157,9.78031E+12
moon palace,paul auster,penguin books,1990,320,3.94054297,16099,503,9.78014E+12
the music of chance,paul auster,penguin books,1991,217,3.939188667,361,36,9.78014E+12
travels in the scriptorium,paul auster,henry holt & company,2007,145,3.496390557,6688,562,9.78081E+12
leviathan,paul auster,penguin books,1993,275,3.955619906,11744,443,9.78014E+12
the red notebook: true stories,paul auster,new directions,2002,104,3.878041963,2390,120,9.78081E+12
collapse: how societies choose to fail or succeed,jared diamond,penguin books ltd. (london),2005,608,3.930899334,52522,2780,9.78014E+12
the coming economic collapse: how you can thrive when oil costs $200 a barrel,stephen leeb,business plus,2006,211,3.915238689,213,26,9.78045E+12
collapse of complex societies,joseph a. tainter,cambridge university press,1990,262,3.974368996,719,86,9.78052E+12
bowling alone: the collapse and revival of american community,robert d. putnam,simon  schuster,2001,544,3.865085518,4762,512,9.78074E+12
the collapse of the common good: how america's lawsuit culture undermines our freedom,philip k. howard,ballantine books,2002,272,3.942232236,62,4,9.78035E+12
reinventing the enemy's language: contemporary native women's writings of north america,joy harjo,w. w. norton  company,1998,576,3.971855114,278,20,9.78039E+12
my inventions,nikola tesla,filiquarian publishing  llc.,2006,88,3.970823012,2862,262,9.7816E+12
wizard: the life and times of nikola tesla: biography of a genius,marc j.  seifer,citadel,2001,542,3.875235697,2829,334,9.78081E+12
nikola tesla: a spark of genius,carol dommermuth-costa,lerner publications,1994,144,3.942406531,105,5,9.78082E+12
tesla papers,nikola tesla,adventures unlimited press,2000,100,3.947399011,102,2,9.78093E+12
boys of summer,julie elizabeth leto,harlequin blaze,2006,249,3.924260022,478,12,9.78037E+12
programming ruby: the pragmatic programmers' guide,dave thomas,pragmatic bookshelf,2004,828,3.967446502,1577,49,9.78097E+12
golding's lord of the flies (cliffs notes),maureen kelly,cliffs notes,2000,112,3.942863404,73,8,9.78076E+12
lord of the flies,william golding,listening library (audio),2005,6,3.918368168,408,96,9.78031E+12
a war like no other: how the athenians & spartans fought the peloponnesian war,victor davis hanson,random house,2006,397,3.992548744,1693,100,9.78081E+12
the lovely bones,alice sebold,picador,2003,328,3.860571425,6485,966,9.78033E+12
the lovely bones,alice sebold,large print press,2004,532,3.931556599,367,73,9.78159E+12
lovely in her bones (elizabeth macpherson  #2),sharyn mccrumb,ballantine books,1990,224,3.906241859,1371,43,9.78035E+12
html  xhtml  and css (visual quickstart guide),elizabeth castro,peachpit press,2006,456,3.925475178,549,42,9.78032E+12
killing yourself to live: 85% of a true story,chuck klosterman,scribner,2006,245,3.8274439,26381,1109,9.78074E+12
sex  drugs  and cocoa puffs: a low culture manifesto,chuck klosterman,scribner,2004,272,3.742850134,62089,3324,9.78074E+12
vice (v  #8),jane feather,bantam,1996,419,3.896800563,474,19,9.78055E+12
zen and the art of motorcycle maintenance: an inquiry into values (phaedrus  #1),robert m. pirsig,harpertorch,2006,540,3.774054871,166046,6446,9.78006E+12
once upon a cool motorcycle dude,kevin o'malley,walker & company,2005,32,3.984951704,1773,274,9.7808E+12
guidebook to zen and the art of motorcycle maintenance,ronald l. disanto,william morrow paperbacks,1990,408,3.927840984,286,10,9.78069E+12
motorcycle basics techbook,john harold haynes,haynes manuals n. america  inc.,2002,222,3.941812827,40,2,9.78186E+12
logo lounge: 2 000 international identities by leading designers,catharine m. fishel,rockport publishers,2004,191,3.942647338,27,0,9.78159E+12
the death of ivan ilych and other stories,leo tolstoy,signet classics,2003,304,4.050870788,7300,266,9.78045E+12
war and peace,leo tolstoy,oxford university press,1998,1392,4.10690413,211671,6245,9.78019E+12
the kingdom of god is within you,leo tolstoy,dover publications,2006,352,4.013105213,2403,210,9.78049E+12
for the new intellectual: the philosophy of ayn rand,ayn rand,signet book,1963,224,3.835560192,2750,108,9.78045E+12
the fountainhead,ayn rand,dutton,2005,752,3.919394411,1886,229,9.78045E+12
the virtue of selfishness: a new concept of egoism,ayn rand,signet,1964,176,3.621773088,11462,467,9.78045E+12
anthem,ayn rand,nal,1999,105,3.640860149,110952,7277,9.78045E+12
we the living,ayn rand,signet,1996,464,3.914805212,23199,1086,9.78045E+12
capitalism: the unknown ideal,ayn rand,signet,1986,340,3.913420254,3501,153,9.78045E+12
letters of ayn rand,ayn rand,nal,1997,681,3.942810403,18,2,9.78045E+12
sailing for dummies,j.j. isler,for dummies,2006,416,3.942996087,150,7,9.78047E+12
sailing from byzantium: how a lost empire shaped the world,colin  wells,delacorte press,2006,368,3.933994435,646,83,9.78055E+12
sailing alone around the room: new and selected poems,billy collins,random house trade paperbacks,2002,192,4.159094499,12180,630,9.78038E+12
the greatest sailing stories ever told: twenty-seven unforgettable stories,christopher caswell,lyons press,2004,286,3.938661404,51,5,9.78159E+12
natural cures "they" don't want you to know about,kevin trudeau,alliance publishing,2004,571,3.698620068,1601,284,9.78098E+12
the natural,bernard malamud,farrar straus giroux,2003,231,3.727177601,8854,672,9.78037E+12
digging to america,anne tyler,alfred a. knopf,2006,277,3.624131661,17155,1841,9.78031E+12
rereading america: cultural contexts for critical thinking and writing,gary colombo,bedford books,2004,826,3.940849587,44,3,9.78031E+12
modern latin america,thomas e. skidmore,oxford university press  usa,2004,528,3.923199686,234,11,9.7802E+12
the plot against america,philip roth,vintage international,2005,391,3.788478492,33321,2925,9.7814E+12
naked pictures of famous people,jon   stewart,dey street books,1999,164,3.700910828,8703,417,9.78069E+12
collected stories,gabriel garcÃ­a mÃ¡rquez,harper perennial modern classics,2008,352,4.094791213,6375,179,9.78006E+12
living to tell the tale,gabriel garcÃ­a mÃ¡rquez,vintage,2004,533,3.947008748,397,47,9.7814E+12
the elegant universe: superstrings  hidden dimensions  and the quest for the ultimate theory,brian greene,vintage books usa,2004,425,4.056105277,32569,1058,9.78038E+12
pure and simple: the extraordinary teachings of a thai buddhist laywoman,upasika kee nanayon,wisdom publications,2005,288,3.945922304,37,6,9.78086E+12
best of london (lonely planet best of),lonely planet,lonely planet,2004,128,3.942423073,11,0,9.78174E+12
three nights in august: strategy  heartbreak  and joy inside the mind of a manager,h.g. bissinger,mariner books,2006,287,3.903054117,6870,237,9.78062E+12
cryptonomicon,neal stephenson,avon,2002,1139,4.235930841,83184,4249,9.78006E+12
the confusion (the baroque cycle  #2),neal stephenson,william morrow paperbacks,2005,815,4.205674968,19320,565,9.78006E+12
quicksilver (the baroque cycle  #1),neal stephenson,harpercollins perennial,2004,927,3.931457813,30872,1735,9.78006E+12
the cobweb,neal stephenson,spectra books,2005,448,3.815702164,2465,137,9.78055E+12
the big u,neal stephenson,william morrow paperbacks,2001,308,3.569717942,4657,223,9.78038E+12
the diamond age: or  a young lady's illustrated primer,neal stephenson,spectra,2000,499,4.176846008,71042,2767,9.78055E+12
interface,neal stephenson,spectra,2005,640,3.800230733,4731,270,9.78055E+12
odalisque (the baroque cycle  vol. 1  book 3),neal stephenson,harpertorch,2006,464,4.015257905,1567,65,9.78006E+12
snow crash,neal stephenson,bantam books,2000,438,4.028186618,188100,6612,9.78055E+12
harrington on hold 'em: expert strategy for no-limit tournaments  volume ii: the endgame,dan harrington,two plus two publishing llc,2005,450,4.001326953,1474,30,9.78188E+12
harrington on hold 'em: expert strategy for no-limit tournaments  volume i: strategic play,dan harrington,two plus two publishing llc,2004,381,4.039585953,1929,72,9.78188E+12
the design of everyday things,donald a. norman,basic books,2002,240,4.129848833,18602,1379,9.78047E+12
emotional design: why we love (or hate) everyday things,donald a. norman,basic books,2005,272,3.94622967,3702,149,9.78047E+12
the psychology of everyday things,donald a. norman,basic books,1988,257,3.956881688,265,31,9.78047E+12
no price too high: a pentecostal preacher becomes catholic - the inspirational story of alex jones as told to diane hanson,alex c. jones,ignatius press,2006,259,3.946861572,51,7,9.7809E+12
the alchemist,paulo coelho,harperone,2006,192,3.927236052,920,76,9.78006E+12
fullmetal alchemist  vol. 9 (fullmetal alchemist  #9),hiromu arakawa,viz media llc,2006,192,4.377468172,9013,153,9.78142E+12
fullmetal alchemist  vol. 3 (fullmetal alchemist  #3),hiromu arakawa,viz media llc,2005,192,4.440727509,16666,299,9.78159E+12
fullmetal alchemist  vol. 8 (fullmetal alchemist  #8),hiromu arakawa,viz media llc,2006,192,4.407864129,11451,161,9.78142E+12
fullmetal alchemist  vol. 1 (fullmetal alchemist  #1),hiromu arakawa,viz media llc,2005,192,4.480671384,111091,1427,9.78159E+12
fullmetal alchemist  vol. 4 (fullmetal alchemist  #4),hiromu arakawa,viz media llc,2005,200,4.38559189,10752,294,9.78159E+12
the illustrated alchemist: a fable about following your dream,paulo coelho,harpercollins publishers,1998,198,3.937838258,251,32,9.78006E+12
fullmetal alchemist  vol. 2 (fullmetal alchemist  #2),hiromu arakawa,viz media llc,2005,192,4.398177735,14923,419,9.78159E+12
pompeii,robert   harris,random house trade paperbacks,2005,274,3.835847413,26922,1726,9.78081E+12
the last days of pompeii,edward bulwer-lytton,borgo press,2002,360,3.865765132,1156,68,9.78159E+12
the game: penetrating the secret society of pickup artists,neil strauss,it books,2005,464,3.77300199,20529,1592,9.78006E+12
the westing game,ellen raskin,puffin,2004,182,4.017889166,142121,8782,9.78014E+12
the egypt game,zilpha keatley snyder,turtleback books,2009,215,3.843148755,30231,1130,9.78081E+12
memoirs of a geisha,arthur golden,vintage books usa,2005,503,4.107651558,280309,3703,9.7814E+12
memoirs of a geisha,arthur golden,vintage,2005,497,4.000790466,2122,256,9.7801E+12
memoirs of a geisha: a portrait of the film,david        james,newmarket press,2005,144,3.947544503,145,8,9.78156E+12
memoirs of a geisha,arthur golden,vintage,1998,497,4.028384543,4189,462,9.7801E+12
geisha of gion,mineko iwasaki,pocket books,2003,334,3.939161546,1556,158,9.78074E+12
jungle love,margaret johnson,cambridge university press,2002,95,3.934973237,59,7,9.78052E+12
